name,type,latitude,longitude
Liliodendron Caseiu,LOG,47.2145163,23.864021
Depozit BKT Forest,LOG,47.553655,23.985642
BKT Forest,LOG,47.553655,23.985642
Palpitant Club,LOG,47.776249,23.923891
Marsinka Truck Leordina,LOG,47.782224,24.269697
OS Putna,LOG,47.869257,25.615494
Birsan Lemn Depozit 2,LOG,47.805321,24.041584
Dendrolemn,LOG,47.559797,24.433223
Floromin Dep Poiana Stampei,LOG,47.323637,25.138294
Euromilalex SRL,LOG,47.643112,24.538498
Moldfag Saba,LOG,47.532302,24.405468
Tobalis Deb,LOG,45.664472,25.406601
Sihar,LOG,47.596254,24.953494
Teomar Building,LOG,47.539777,25.657968
Exploami Ionut 2,LOG,47.681872,24.103805
Mimilaur,LOG,47.620029,25.107027
Moiseflar,LOG,47.654315,24.575512
OS Borsec  depozit Bistricioara,LOG,47.001467,25.623477
